Sample,Type,Latitude,Longitude,Beach/Well,Type,Fit,Family,Rank,PDBx,Ts/Tm,C26/Tet,C28/C29,PAH-RI,SC2D/SC2P,SC3D/SC3P,C28/C29TT,C20/C23TT,C22/C21TT,C24/C23TT,C26/C25TT,C31S/H,C29H/H,C35/C34S hopanes,BNH/H,OI/H,G/H,C29Ts/C29H
00-21,Tar,37.85994,-122.44341,Angel Island,Training,n/a,212,< 5,-22.7,0.27,5.5,1.1,39,1.8,1.8,0.69,0.17,0.44,0.53,0.72,0.47,0.77,1.6,0.75,0.04,0.07,0.08
00-22,Tar,37.85925,-122.44322,Angel Island,Training,n/a,35,< 5,-23.1,0.24,5.5,1.3,89,3.1,3.1,0.68,0.12,0.63,0.41,0.66,0.53,0.77,1.5,0.46,0.04,0.06,0.08
00-23,Tar,37.85983,-122.44377,Angel Island,Training,n/a,212,< 5,-22.7,0.29,5.6,1.1,33,1.8,1.8,0.7,0.18,0.41,0.55,0.74,0.45,0.77,1.5,0.71,0.04,0.07,0.08
00-31,Tar,37.86088,-122.41971,Angel Island,Training,n/a,33,< 5,-22.9,0.15,3.6,1,139,3.7,4.1,0.58,0.08,1.1,0.25,0.69,0.56,0.91,2.2,1.1,0.02,0.11,0.05
00-38,Tar,38.07821,-122.97593,Point Reyes,Training,n/a,33,< 5,-22.8,0.17,3.4,1,143,3.6,4.1,0.57,0.1,0.94,0.28,0.71,0.55,0.91,2.1,1.2,0.03,0.11,0.06
00-40,Tar,38.0476,-122.98939,Point Reyes,Training,n/a,34,< 5,-22.9,0.19,2.9,1,163,3.8,4.2,0.59,0.11,0.87,0.3,0.66,0.52,0.71,2.3,0.85,0.02,0.11,0.07
00-41,Tar,37.9944,-122.97468,Point Reyes,Training,n/a,33,< 5,-22.8,0.16,3.6,1.1,136,3.8,4.1,0.57,0.08,1.1,0.25,0.7,0.54,0.91,2.1,1.2,0.02,0.11,0.05
00-42,Tar,37.99604,-122.9782,Point Reyes,Training,n/a,12,< 5,-22.8,0.33,5,1.2,3,0.24,0.32,0.83,0.25,0.19,0.72,0.84,0.26,0.63,0.85,0.27,0.12,0.07,0.15
00-43,Tar,37.99603,-122.9782,Point Reyes,Training,n/a,32,< 5,-23,0.2,4,1.1,55,1.6,2.3,0.63,0.08,0.9,0.31,0.73,0.53,0.91,2,0.96,0.03,0.1,0.06
00-44,Tar,38.02883,-122.95667,Drakes,Training,n/a,33,< 5,-22.9,0.15,3.4,1.1,128,3.8,4.1,0.56,0.08,1.1,0.26,0.69,0.55,0.91,2.2,1.1,0.02,0.11,0.05
00-45,Tar,38.02619,-122.96301,Drakes,Training,n/a,33,< 5,-22.8,0.15,3.4,1.1,126,3.6,4.2,0.56,0.08,1.1,0.25,0.72,0.55,0.91,2.1,1.1,0.02,0.11,0.06
00-47,Tar,38.02734,-122.9605,Drakes,Training,n/a,33,< 5,-22.8,0.15,3.5,1.1,128,3.6,4.3,0.56,0.08,1.1,0.25,0.72,0.55,0.91,2.2,1.2,0.02,0.12,0.06
00-48,Tar,38.02643,-122.96056,Drakes,Training,n/a,33,< 5,-22.8,0.17,3.7,1.1,123,3.2,3.6,0.6,0.1,0.9,0.31,0.7,0.54,0.91,2,0.96,0.03,0.1,0.06
00-50,Tar,38.02515,-122.87655,Limintour,Training,n/a,22,< 5,-23.2,0.19,3.5,1.1,58,2,2.5,0.71,0.16,0.53,0.42,0.72,0.46,0.71,1.9,1.8,0.03,0.1,0.07
00-51,Tar,38.02369,-122.87655,Limintour,Training,n/a,34,< 5,-22.8,0.18,2.7,1.1,141,3.7,4.2,0.58,0.1,0.94,0.28,0.69,0.53,0.77,2.3,0.81,0.02,0.12,0.07
00-52,Tar,37.90481,-122.6848,Bolinas,Training,n/a,33,< 5,-22.7,0.17,3.3,1.1,154,3.6,4,0.55,0.1,0.95,0.28,0.72,0.56,0.83,2.1,1.2,0.02,0.11,0.06
00-54,Tar,37.89738,-122.64289,Stinson,Training,n/a,33,< 5,-22.9,0.16,3.6,1,119,3.6,4.4,0.58,0.08,1.1,0.26,0.72,0.56,0.91,2.2,1.1,0.02,0.12,0.05
00-55,Tar,37.89732,-122.64282,Stinson,Training,n/a,33,< 5,-22.9,0.15,3.6,1.1,102,3.6,4.4,0.57,0.08,1.1,0.25,0.69,0.56,0.91,2.2,1.1,0.02,0.12,0.05
00-62,Tar,37.78987,-122.48688,Baker,Training,n/a,34,< 5,-22.9,0.18,2.9,1.1,180,4,4.4,0.59,0.1,0.94,0.3,0.67,0.52,0.71,2.3,0.8,0.02,0.12,0.06
00-64,Tar,37.72509,-122.50658,Funston,Training,n/a,33,< 5,-22.8,0.16,3.6,1,98,3.8,4.2,0.58,0.08,1.1,0.26,0.71,0.56,0.91,2.2,1.1,0.02,0.12,0.05
